HGNC ID	Approved symbol	Approved name	OMIM ID(supplied by OMIM)	MANE Select Ensembl transcript ID (supplied by NCBI)	MANE Select RefSeq transcript ID (supplied by NCBI)
HGNC:5	A1BG	alpha-1-B glycoprotein	138670	ENST00000263100.8	NM_130786.4
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1			
HGNC:24086	A1CF	APOBEC1 complementation factor	618199	ENST00000373997.8	NM_014576.4
HGNC:6	A1S9T	symbol withdrawn, see [HGNC:12469](/data/gene-symbol-report/#!/hgnc_id/HGNC:12469)			
HGNC:7	A2M	alpha-2-macroglobulin	103950	ENST00000318602.12	NM_000014.6
HGNC:27057	A2M-AS1	A2M antisense RNA 1			
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	610627	ENST00000299698.12	NM_144670.6
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1			
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2			
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1			
HGNC:9	A2MR	symbol withdrawn, see [HGNC:6692](/data/gene-symbol-report/#!/hgnc_id/HGNC:6692)			
HGNC:10	A2MRAP	symbol withdrawn, see [HGNC:6701](/data/gene-symbol-report/#!/hgnc_id/HGNC:6701)			
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2		ENST00000442999.3	NM_001080438.1
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	607922	ENST00000642412.2	NM_017436.7
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	616709	ENST00000236709.4	NM_016161.3
HGNC:1	A12M1	adenovirus-12 chromosome modification site 1C			
HGNC:2	A12M2	adenovirus-12 chromosome modification site 1A			
HGNC:3	A12M3	adenovirus-12 chromosome modification site 1B			
HGNC:4	A12M4	adenovirus-12 chromosome modification site 17			
HGNC:11	AA	symbol withdrawn, see [HGNC:11714](/data/gene-symbol-report/#!/hgnc_id/HGNC:11714)			
HGNC:13666	AAAS	aladin WD repeat nucleoporin	605378	ENST00000209873.9	NM_015665.6
HGNC:12	AABT	amino acid transport, beta			
HGNC:13	AAC1	symbol withdrawn, see [HGNC:7645](/data/gene-symbol-report/#!/hgnc_id/HGNC:7645)			
HGNC:14	AAC2	symbol withdrawn, see [HGNC:7646](/data/gene-symbol-report/#!/hgnc_id/HGNC:7646)			
HGNC:21298	AACS	acetoacetyl-CoA synthetase	614364	ENST00000316519.11	NM_023928.5
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1			
HGNC:13792	AACT	symbol withdrawn, see [HGNC:16](/data/gene-symbol-report/#!/hgnc_id/HGNC:16)			
HGNC:17	AADAC	arylacetamide deacetylase	600338	ENST00000232892.12	NM_001086.3
HGNC:24427	AADACL2	arylacetamide deacetylase like 2		ENST00000356517.4	NM_207365.4
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1			
HGNC:32037	AADACL3	arylacetamide deacetylase like 3		ENST00000359318.8	NM_001103170.3
HGNC:32038	AADACL4	arylacetamide deacetylase like 4		ENST00000376221.2	NM_001013630.2
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1			
HGNC:17929	AADAT	aminoadipate aminotransferase	611754	ENST00000337664.9	NM_016228.4
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	614888	ENST00000261880.10	NM_024666.5
HGNC:19679	AAK1	AP2 associated kinase 1	616405	ENST00000409085.9	NM_014911.5
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing		ENST00000393427.7	NM_024684.4
HGNC:18	AAMP	angio associated migratory cell protein	603488	ENST00000248450.9	NM_001087.5
HGNC:19	AANAT	aralkylamine N-acetyltransferase	600950	ENST00000392492.8	NM_001088.3
HGNC:15886	AAR2	AAR2 splicing factor	617365	ENST00000320849.9	NM_001271874.2
HGNC:33842	AARD	alanine and arginine rich domain containing protein		ENST00000378279.4	NM_001025357.3
HGNC:20	AARS1	alanyl-tRNA synthetase 1	601065	ENST00000261772.13	NM_001605.3
HGNC:49894	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1			
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	612035	ENST00000244571.5	NM_020745.4
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	613212	ENST00000427569.7	NM_001261434.2
HGNC:54994	AARSD1P1	AARSD1 pseudogene 1			
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	614365	ENST00000205214.11	NM_181806.4
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	607756	ENST00000278618.9	NM_015423.3
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	605113	ENST00000417368.7	NM_005763.4
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer			
HGNC:19235	AATF	apoptosis antagonizing transcription factor	608463	ENST00000619387.5	NM_012138.4
HGNC:21	AATK	apoptosis associated tyrosine kinase	605276	ENST00000326724.9	NM_001080395.3
HGNC:22	AAVS1	adeno-associated virus integration site 1	102699		
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA			
HGNC:23	ABAT	4-aminobutyrate aminotransferase	137150	ENST00000268251.13	NM_020686.6
HGNC:24	ABC1	symbol withdrawn, see [HGNC:29](/data/gene-symbol-report/#!/hgnc_id/HGNC:29)			
HGNC:25	ABC2	symbol withdrawn, see [HGNC:32](/data/gene-symbol-report/#!/hgnc_id/HGNC:32)			
HGNC:26	ABC3	symbol withdrawn, see [HGNC:33](/data/gene-symbol-report/#!/hgnc_id/HGNC:33)			
HGNC:28	ABC7	symbol withdrawn, see [HGNC:48](/data/gene-symbol-report/#!/hgnc_id/HGNC:48)			
HGNC:27	ABC50	symbol withdrawn, see [HGNC:70](/data/gene-symbol-report/#!/hgnc_id/HGNC:70)			
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	600046	ENST00000374736.8	NM_005502.4
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	600047	ENST00000341511.11	NM_001606.5
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	601615	ENST00000301732.10	NM_001089.3
HGNC:55707	ABCA3P1	ABCA3 pseudogene 1			
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	601691	ENST00000370225.4	NM_000350.3
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	612503	ENST00000392676.8	NM_172232.4
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	612504	ENST00000284425.7	NM_080284.3
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	605414	ENST00000263094.11	NM_019112.4
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	612505	ENST00000586539.6	NM_001288985.2
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	612507	ENST00000340001.9	NM_080283.4
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1			
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	612508	ENST00000690296.1	NM_001377321.1
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene			
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	607800	ENST00000272895.12	NM_173076.3
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	607807	ENST00000435803.6	NM_152701.5
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene			
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	171050	ENST00000622132.5	NM_001348946.2
HGNC:11563	ABCB2	symbol withdrawn, see [HGNC:43](/data/gene-symbol-report/#!/hgnc_id/HGNC:43)			
HGNC:11564	ABCB3	symbol withdrawn, see [HGNC:44](/data/gene-symbol-report/#!/hgnc_id/HGNC:44)			
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	171060	ENST00000649586.2	NM_000443.4
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	611785	ENST00000404938.7	NM_001163941.2
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	605452	ENST00000265316.9	NM_005689.4
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	300135	ENST00000373394.8	NM_001271696.3
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	605464	ENST00000358849.9	NM_007188.5
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	605453	ENST00000280560.13	NM_019625.4
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	605454	ENST00000344517.5	NM_012089.3
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1			
HGNC:31128	ABCB10P2	symbol withdrawn, see [HGNC:14114](/data/gene-symbol-report/#!/hgnc_id/HGNC:14114)			
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3			
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4			
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	603201	ENST00000650372.1	NM_003742.4
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	158343	ENST00000399410.8	NM_004996.4
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	601107	ENST00000647814.1	NM_000392.5
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	604323	ENST00000285238.13	NM_003786.4
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	605250	ENST00000645237.2	NM_005845.5
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	605251	ENST00000334444.11	NM_005688.4
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1			
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	603234	ENST00000205557.12	NM_001171.6
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1			
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2			
HGNC:58	ABCC7	symbol withdrawn, see [HGNC:1884](/data/gene-symbol-report/#!/hgnc_id/HGNC:1884)			
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	600509	ENST00000389817.8	NM_000352.6
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	601439	ENST00000261200.9	NM_020297.4
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	612509	ENST00000372530.9	NM_001198934.2
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	607040	ENST00000356608.7	NM_001370497.1
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	607041	ENST00000311303.8	NM_001393797.1
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	608835		
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	300371	ENST00000218104.6	NM_000033.4
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1			
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2			
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3			
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4			
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5			
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	601081	ENST00000308666.4	NM_005164.4
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	170995	ENST00000370214.9	NM_002858.4
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	603214	ENST00000356924.9	NM_005050.4
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	601213	ENST00000296577.9	NM_002940.3
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	603429	ENST00000326195.13	NM_001025091.2
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript			
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	612510	ENST00000287844.7	NM_007189.3
HGNC:54751	ABCF2-H2BK1	ABCF2-H2BK1 readthrough			
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1			
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2			
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	618967	ENST00000429586.7	NM_018358.3
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	603076	ENST00000398449.8	NM_016818.3
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	603756	ENST00000237612.8	NM_004827.3
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	607784	ENST00000619701.5	NM_022169.5
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	605459	ENST00000405322.8	NM_022436.3
